Montadoras,Modelos 
,Atos Prime GLS 1.0 Aut.
,Atos Prime GLS 1.0 Mec.
,Atos Prime GLS 1.0 Semi-Aut.
,AZERA 3.0 V6 24V 4p Aut.
,AZERA GLS 3.3 V6 24V 4p Aut.
,Coupê FX 2.0 Aut.
,Coupê FX 2.0 Mec.
,Coupe FX 2.7 V6 24V 180cv Aut.
,Coupe FX 2.7 V6 24V 180cv Mec.
,Creta Attitude 1.6 16V Flex Mec.
,Creta Prestige 2.0 16V Flex Aut.
,Creta Pulse 1.6 16V Flex Aut.
,Creta Pulse 1.6 16V Flex Mec.
,Creta Pulse 2.0 16V Flex Aut.
,Cupê 2.0
,Elantra 2.0 16V Flex Aut.
,Elantra GL
,Elantra GLS 1.6
,Elantra GLS 1.8 16V
,ELANTRA GLS 1.8 16V Aut.
,ELANTRA GLS 1.8 16V Mec.
,Elantra GLS 2.0 16V Aut
,Elantra GLS 2.0 16V Flex Aut.
,Elantra GLS 2.0 16V Mec
,Elantra Special Edition 2.0 16V Flex Aut
,Elantra Wagon 1.8 16V
,EQUUS 4.6 V8 32V 366cv 4p Aut.
,Excel GLS
,Excel GS
,Excel L
,Excel LS/ GL
,Galloper 2.5 Luxo Turbo Diesel
,Galloper 2.5 Super Luxo Turbo Diesel
,Galloper 3.0 V6 Luxo
,Galloper 3.0 V6 Super Luxo Aut
,Galloper 3.0 V6 Super Luxo Mec
,GENESIS 3.8 V6 24V 290cv 4p Aut.
,Grand Santa Fé 3.3 V6 4X4 Tiptronic
,H1 Starex HSV 2.4 16V 137cv Aut.
,H1 Starex HSV 2.5 Diesel
,H1 Starex SVX 2.4 16V
,H1 Starex SVX 2.5 TDI 100cv Diesel
,H1 Starex SVX 2.6 85cv Diesel
,H100 DLX Furgão Diesel
,H100 DLX/ Panel Diesel
,H100 GL Diesel
,H100 GL Furgão Extra-Longo Diesel
,H100 GLS Diesel
,H100 GS (12 lugares)
,H100 GS Diesel (12 lugares)
,H100 Porter Truck Diesel
,H100 SPR Diesel (15 lugares)
,H100 Top Diesel
,HB20 C./C.Plus/C.Style 1.6 Flex 16V Mec.
,HB20 C.Style/C.Plus 1.6 Flex 16V Aut.
,HB20 Comf./C.Plus/C.Style 1.0 Flex 12V
,HB20 Comfort Plus 1.0 TB Flex 12V Mec.
,HB20 Comfort Style 1.0 TB Flex 12V Mec.
,HB20 Copa do Mundo 1.0 Flex 12V Mec.
,HB20 Copa do Mundo 1.6 Flex 16V Aut.
,HB20 Copa do Mundo 1.6 Flex 16V Mec.
,HB20 For You 1.0 Flex 12V 5p
,HB20 Ocean 1.0 Flex 12V 5p Mec.
,HB20 Ocean 1.6 Flex 16V 5p Aut.
,HB20 Ocean 1.6 Flex 16V 5p Mec.
,HB20 Premium 1.6 Flex 16V Aut.
,HB20 Premium 1.6 Flex 16V Mec.
,HB20 R spec 1.6 Flex 16V Aut.
,HB20 R spec 1.6 Flex 16V Mec.
,HB20 S For You 1.0 Flex 12V 4p
,HB20 Spicy 1.0 Flex 12V Mec.
,HB20 Spicy 1.6 Flex 16V Aut.
,HB20 Spicy 1.6 Flex 16V Mec.
,HB20S Impress 1.6 Flex 16V Aut.
,HB20S Impress 1.6 Flex 16v Mec.
,HB20S C.Plus/C.Style 1.6 Flex 16V Mec.4p
,HB20S C.Plus/C.Style1.0 Flex 12V Mec. 4P
,HB20S C.Style/C.Plus1.6 Flex 16V Aut. 4p
,HB20S Comfort Plus 1.0 TB Flex 12V Mec.
,HB20S Comfort Style 1.0 TB Flex 12V Mec.
,HB20S Copa do Mundo 1.0 Flex 12V Mec.
,HB20S Copa do Mundo 1.6 Flex 16V Aut.
,HB20S Copa do Mundo 1.6 Flex 16V Mec.
,HB20S Ocean 1.6 Flex 16v 4p Aut.
,HB20S Ocean 1.6 Flex 16V 4p Mec.
,HB20S Premium 1.6 Flex 16V Aut. 4p
,HB20S Premium 1.6 Flex 16V Mec. 4p
,HB20X Premium 1.6 Flex 16V Aut.
,HB20X Premium 1.6 Flex 16V Mec.
,HB20X Style 1.6 Flex 16V Aut.
,HB20X Style 1.6 Flex 16v Mec.
,HR 2.5 TCI Diesel (RS/RD)
,i30 1.6 16V Flex 5p Aut.
,i30 1.8 16V Aut. 5p
,i30 2.0 16V 145cv 5p Aut.
,i30 2.0 16V 145cv 5p Mec.
,i30 Serie Limitada 1.8 16V Aut. 5p
,i30cw 2.0 16V 145cv Aut. 5p
,i30cw 2.0 16V 145cv Mec. 5p
,ix35 2.0 16V 170cv 2WD/4WD Aut.
,ix35 2.0 16V 170cv 2WD/4WD Mec.
,ix35 2.0 16V 2WD Flex Aut.
,ix35 2.0 16V 2WD Flex Aut.
,ix35 2.0 16V 2WD Flex Mec.
,ix35 2.0 Launching Edition 16V Flex Aut.
,ix35 GL 2.0 16V 2WD Flex Aut.
,Matrix GLS 1.8 16V 123cv Aut.
,Matrix GLS 1.8 16V 123cv Mec.
,Porter GL 4x2 Curto/Longo Diesel
,Porter GLS CD 4x2 2.6 8V Diesel
,Santa Fé /GLS 3.3 V6 4X4 Tiptronic
,Santa Fe GLS 2.4 Tiptronic
,Santa Fe GLS 2.7 V6 4x4TipTronic
,Santa Fe GLS 3.5 V6 4x4 Tiptronic
,Scoupe
,Sonata 2.4 16V 182cv 4p Aut.
,Sonata GL 2.0 4p
,Sonata GLS 2.0 4p
,Sonata GLS 2.5 Aut.
,Sonata GLS 2.7 V6 24V 179cv 4p Aut.
,Sonata GLS 3.0 4p Aut
,Sonata GLS 3.3 V6 24V 235cv 4p Aut.
,Terracan 2.5 8V 100cv TB Diesel Aut.
,Terracan 2.5 8V 100cv TB Diesel Mec.
,Terracan 2.9 CRDI 8V 163cv Diesel Aut.
,Trajet GLS 2.7 V6 24v 179cv Aut.
,Tucson 2.0 16V Aut.
,Tucson 2.0 16V Flex Aut.
,Tucson 2.0 16V Flex Mec.
,Tucson 2.0 16V Mec.
,Tucson 2.0 CRDi 16V 112cv Diesel Aut.
,Tucson 2.7 MPFI 24V 175cv Aut.
,Tucson Ed. Especial 1.6 Turbo 16V Aut.
,Tucson GL 1.6 Turbo 16V Aut.
,Tucson GLS 1.6 Turbo 16V Aut.
,Veloster 1.6 16V 140cv Aut.
,VERACRUZ GLS 3.8 4WD Aut.
Isuzu,Amigo 2.3 4x2/4x4
,Hombre 2 WD XS 2.2
,Rodeo 3.2 V6
JAC,J2 1.4 16V 5p Mec.
,J2 1.4 JET Flex 16V 5p Mec
,J3 1.4 16V 5p Mec.
,J3 Brasil1.4 16V 5p Mec.
,J3 S 1.5 JET Flex 16v VVT 5p
,J3 S turin 1.5 JET Flex 16V 4p Mec.
,J3 turin Sedan 1.4 16V 4p Mec.
,J3 turin Sedan Brasil 1.4 16V 4p Mec.
,J5 Sedan 1.5 16V 4p Mec.
,J6 2.0 16V 5p Mec.
,J6 2.0 JET Flex 5p Mec.
,T 140 2.8 2p (diesel)
,T5 1.5 JET Flex 16V 5p Aut.
,T5 1.5 JET Flex 16V 5p Mec.
,T6 2.0 JET Flex 5p Mec.
,T8 2.0 16V 5p Mec.
Jaguar,Daimler LWB 4.0
,F-Pace 2.0 Prestige 180cv Diesel Aut.
,F-Pace 3.0 FIRST EDITION 380cv Aut.
,F-Pace 3.0 R-Sport 340cv Aut.
,F-Pace 3.0 S 380cv Aut.
,F-Type R AWD Supercharged Coupe 5.0 V8
,F-Type R Supercharged Coupe 5.0 V8
,F-Type S Supercharged Conversivel 3.0 V6
,F-Type S Supercharged Conversivel 5.0 V8
,F-Type S Supercharged Coupe 3.0 V6
,F-Type Supercharged Conversivel 3.0 V6
,F-Type Supercharged Coupe 3.0 V6
,S-Type 3.0/ 3.0 SE V6
,S-Type 4.2/ 4.2 SE/ 4.0 V8 32V
,S-Type R 4.2 V8 32V 400cv
,X-Type ESTATE 3.0 24V 230cv
,X-Type SE 2.5 V6 194cv
,X-Type SE 3.0 V6 231cv
,XE 2.0 Turbocharged Pure 240cv Aut.
,XE 2.0 Turbocharged R-Sport 240cv Aut.
,XE 3.0 Supercharged S 340cv Aut.
,XF 2.0 GTDi Prestige 16V 240cv Aut.
,XF 2.0 GTDI R-SPORT 240cv Aut.
,XF 2.0 GTDI SPORT LUXURY 240cv Aut.
,XF 2.0 GTDI SPORT PREMIUM TECH 240cv Aut
,XF 2.0 Turbo 16V 240cv Aut.
,XF 3.0 Portfolio Supercharged V6 Aut.
,XF 3.0 S V6 380cv Aut.
,XF 3.0 V6 24V 240cv Aut.
,XF 4.2 V8 32V 300cv Aut.
,XF 5.0 32V V8 385cv Aut.
,XF SV8 4.2 V8 32V 420cv Aut.
,XFR Supercharged 5.0 V8 510cv Aut
,XFR-S Supercharged 5.0 V8 550cv Aut.
,XJ 2.0 Turbo 16V 240cv Aut.
,XJ 3.0 Portfolio Supercharged V6 Aut.
,XJ 3.0 R-Sport Supercharged V6 Aut.
,XJ S.Sport Supercharged 5.0 V8 32V Aut.
,XJ Super 4.2 V8 32V 400cv 4p
,XJ-12
,XJ-12 Conv.
,XJ-6
,XJ-8 Daimler
,XJ-8 Executive/ Centenary 4.0
,XJ-8 Executive/ SE 4.2 V8 32V 300cv 4p
,XJ-8 Sovereign LWB 4.0
,XJR 4.2 V8 32V 400cv 4p
,XJS 4.0 24V
,XJS-C 6.0 V12
,XK-8 BR Conversível / XK-8 Conversível
,XK-8 BR Coupê/ XK-8 Coupê
,XKR Conversível 4.2 / 5.0 32V
,XKR Coupê 4.2 / 5.0 32V
,XKR-S Coupé Supercharged 5.0 32V
Jeep,Cherokee Country 4.0 V6 4x4
,Cherokee Limited 3.2 4x4 V6 Aut.
,Cherokee Limited 3.7 4x4 V6 12V Aut.
,Cherokee Longitude 3.2 4x4 V6 Aut.
,Cherokee Rubicon 4.0 V6 4x4
,Cherokee Sport 4.0 Mec./Aut.
,Cherokee Sport 2.5 4x4 Diesel
,Cherokee Sport 3.7 4x4 V6 12V Aut.
,Cherokee Traihawk 3.2 4x4 V6 Aut.
,Commander Limited 5.7 326cv 5p
,COMPASS LIMITED 2.0 4x2 Flex 16V Aut.
,COMPASS LONGITUDE 2.0 4x2 Flex 16V Aut.
,COMPASS LONGITUDE 2.0 4x4 Dies. 16V Aut.
,COMPASS SPORT 2.0 16V 156cv 5p
,COMPASS SPORT 2.0 4x2 Flex 16V Aut.
,COMPASS TRAILHAWK 2.0 4x4 Dies. 16V Aut.
,Grand Cherokee Laredo 2.7 I-5 TB Dies.
,Grand Cherokee Laredo 3.1 TB Diesel Aut
,Grand Cherokee Laredo 3.6 4x4 V6 Aut.
,Grand Cherokee Laredo 4.0 Aut.
,Grand Cherokee Lim. 75 anos 3.6 4x4 Aut.
,Grand Cherokee Limit.4.7 Quad.Drive Aut.
,Grand Cherokee Limited 3.0 TB Dies. Aut
,Grand Cherokee Limited 3.6 4x4 V6 Aut.
,Grand Cherokee Limited 4.7
,Grand Cherokee Limited 5.2 Aut.
,Grand Cherokee Limited 5.7 326cv
,Grand Cherokee Limited LX 5.9
,Grand Cherokee Nova Limited 4.7
,Grand Cherokee Overland 5.7 326cv
,Grand Cherokee SRT8 6.1 V8 16V 432cv Aut
,Renegade 75 Anos 1.8 4X2 Flex 16V Aut.
,Renegade 75 Anos 2.0 4X4 TB Diesel Aut.
,Renegade Lim. Edit. 1.8 4x2 Flex 16V Aut
,Renegade Longitude 1.8 4x2 Flex 16V Aut.
,Renegade Longitude 2.0 4x4 TB Diesel Aut
,Renegade Sport 1.8 4x2 Flex 16V Aut.
,Renegade Sport 1.8 4x2 Flex 16V Mec.
,Renegade Sport 2.0 4x4 TB Diesel Aut.
,Renegade Trailhawk 2.0 4x4 TB Diesel Aut
,Renegade1.8 4x2 Flex 16V Mec.
,Wrangler 4.0/Sport 4.0
,Wrangler SAHARA 3.8 V6 199cv 2p
,Wrangler Sport 3.6 V6 284cv 2p
,Wrangler Sport 3.8 V6 199cv
,Wrangler Unlimited 75 Anos 3.6 V6 284cv
,Wrangler Unlimited SAHARA 3.8 V6 4p
,Wrangler Unlimited Sport 3.6 V6 284cv 4p
,Wrangler Unlimited Sport 3.8 V6 199cv
JINBEI,TOPIC ESCOLAR L 2.2 8V/ 2.0 16V 4p
,TOPIC ESCOLAR SL 2.2 8V/ 2.0 16V 4p
,TOPIC FURGAO L 2.2 8V/ 2.0 16V 4p
,TOPIC VAN L 2.2 8V/ 2.0 16V 4p
,TOPIC VAN Lon./GRAN TOPIC SL
,TOPIC VAN SL 2.2 8V/ 2.0 16V 4p
,TOPIC VAN STD 2.0 16V 4p
,VKN VAN 2.0 16V 4p
JPX,Jipe Montez 4x4 CD Teto de Lona Diesel
,Jipe Montez 4x4 CD Teto Rígido Diesel
,Jipe Montez Std 4x4 Teto de Lona Diesel
,Jipe Montez Std 4x4 Teto Rígido Diesel
,Picape Montez 1.9 4x4 Diesel
Kia Motors,Besta EST 2.7 Diesel (10/12lug.)
,Besta EST Full 2.7 Diesel (10/12lug.)
,Besta Furgão 2.2 Diesel
,Besta Furgão 2.7 Diesel
,Besta Furgão Grand 3.0 Diesel
,Besta GS 2.7 8V 12L Diesel
,Besta GS Full 2.7 Diesel
,Besta GS Grand 3.0 8V 16L Diesel
,Besta ST 2.2 Diesel (12lug.)
,Bongo K-2400 2.4 Diesel
,Bongo K-2500 2.5 4x2 TB Diesel
,Bongo K-2700 2.7 4x2/4x4 Diesel
,Bongo K-2700 2.7 4x4 Basculante Diesel
,Bongo K-2700 2.7 4x4 CD Diesel
,Bongo K-3500/K-3600/110 3.6 Diesel
,CADENZA EX 3.5 V6 24V 290cv Aut.
,Carens EX 2.0 16V Aut
,Carens LS 1.8 16V 130cv Aut.
,Carens LS 1.8 16V 130cv Mec.
,Carnival 2.5 V6
,Carnival EX 3.5 V6 24V 276cv Aut.
,Carnival EX 3.8 V6 24V 242cv Aut.
,Carnival GS 2.9 TDI 16V 125cv Diesel
,Cerato 1.6 16 V Flex Mec.
,Cerato 1.6 16V Flex Aut.
,Cerato 1.6 16V Aut.
,Cerato 1.6 16V Mec.
,Cerato 2.0 16V Aut.
,Cerato KOUP 2.0 16V Aut.
,Ceres Pick-Up 2.2 Diesel
,Clarus GLX 2.0 16V Aut.
,Clarus GLX 2.0 16V Mec
,Clarus Wagon GLX 2.0 16V Aut.
,Clarus Wagon GLX 2.0 16V Mec.
,Grand Carnival EX 3.3 V6 24V 270cv Aut.
,Magentis EX 2.0 16V Aut.
,Magentis LX 2.0 16V Aut
,MOHAVE EX 3.0 V6 24V 256cv TB Dies. Aut.
,MOHAVE EX 3.8 V6 24V 275cv 4x4 Aut.
,MOHAVE EX 4.6 V8 32V 340cv 4x4 Aut.
,Opirus GL 3.5 V6 24V 202cv Aut.
,Opirus GL 3.8 V6 24V 267cv Aut.
,OPTIMA 2.0 16V 165cv Aut.
,OPTIMA 2.4 16V 180cv Aut.
,Picanto EX 1.1/ 1.0/ 1.0 Flex Aut
,Picanto EX 1.1/ 1.0/ 1.0 Flex Mec
,QUORIS EX 3.8 V6 24V 294cv Aut.
,Sephia GTX 1.5 16V
,Sephia GTX 1.6
,Sephia LS 1.5 16V Aut.
,Sephia LS 1.5 16V Mec.
,Sephia SLX
,Shuma LS 1.5 16V Aut.
,Shuma LS 1.5 16V Mec.
,Sorento 2.4 16V 174cv 4x2 Aut.
,Sorento 2.4 16V 174cv 4x4 Aut.
,Sorento 3.3 V6 24V 270cv 4x2 Aut.
,Sorento 3.5 V6 24V 278cv 4x2 Aut.
,Sorento 3.5 V6 24V 278cv 4x4 Aut.
,Sorento EX 2.5 140/170cv 4x4 Aut.Diesel
,Sorento EX 2.5 16V 4x4 Mec. Diesel
,Sorento EX 3.5 V6 24V 197cv 4x4 Aut.
,Sorento EX 3.8 V6 24V 267cv 4x4 Aut.
,Sorento LX 2.5 16V 140cv 4x4 Aut. Diesel
,Sorento LX 2.5 16V 140cv 4x4 Mec. Diesel
,SOUL 1.6/ 1.6 16V FLEX Aut.
,SOUL 1.6/ 1.6 16V FLEX Mec.
,Sportage 2.0 16V Aut
,Sportage 2.0 8V TB-IC Diesel
,Sportage DLX 2.0 16V Aut.
,Sportage DLX 2.0 16V Mec.
,Sportage DLX 2.2 Diesel Mec
,Sportage EX 2.0 16V Mec.
,Sportage EX 2.0 16V/ 2.0 16V Flex Aut.
,Sportage EX 2.7 V6 4x4 Aut.
,Sportage Grand 2.0 16V Aut.
,Sportage Grand 2.0 16V Mec.
,Sportage Grand 2.0 8V TB-IC Diesel
,Sportage GTE 2.2 4x4 Diesel
,Sportage LX 2.0 16V 142cv 5p
,Sportage LX 2.0 16V/ 2.0 16V Flex Aut.
,Sportage LX 2.0 16V/ 2.0 16V Flex Mec.
,Sportage Targa 2.0 16V
Lada,Laika 1.5
,Laika 1.6
,Laika SW 5p
,Niva 1.6 RC/ Pantanal 4x4
,Niva 1.6/ CD 4x4
,Niva 1.7i 4x4
,Samara 1.3/ 1.5
LAMBORGHINI,AVENTADOR LP 700-4
,AVENTADOR LP 700-4 ROADSTER
,Gallardo Coupe LP550-2 Bicolore
,Gallardo Coupe LP560-4
,Gallardo Coupe LP570-4 Sup.Trof.Stradale
,Gallardo Coupe Superleggera LP570-4
,Gallardo Coupe Valentino Balboni LP550-2
,Gallardo Spider LP560-4
,Gallardo Spyder Performante LP570-4
,HURACAN Coupe LP 610-4
,HURACAN Spyder LP 610-4
Land Rover,Defender 110 2.4 122cv T.Diesel
,Defender 110 2.5 HCPU TDi CS Diesel
,Defender 110 2.5 TDi County Pers. Diesel
,Defender 110 2.5 TDi Hard Top Diesel
,Defender 110 2.5 TDi High Capacity Dies.
,Defender 110 2.5 TDi Personel Diesel
,Defender 110 LE FIRE & ICE 2.4 T. Diesel
,Defender 110 RAW 2.4 122cv T. Diesel
,Defender 110 SVX Lim.Edit. 2.4 T.Diesel
,Defender 110 TD5 2.5 4x4 Diesel
,Defender 110 TDI County SW Diesel
,Defender 110 TDI SW Diesel
,Defender 130 Chassis CD Diesel
,Defender 130 High CAP Diesel
,Defender 130 TDI CD Diesel
,Defender 90 2.4 122cv T.Diesel
,Defender 90 2.5 TDi CS Diesel
,Defender 90 LE FIRE & ICE 2.4 T. Diesel
,Defender 90 RAW 2.4 122cv T.Diesel
,Defender 90 Soft Top Diesel
,Defender 90 SVX Lim.Edit. 2.4 T.Diesel
,Defender 90 TDI CSW Diesel
,Defender 90 TDI Hard Top Diesel
,Defender 90 TDI SW Diesel
,Discovery ES 3.9 V8
,Discovery ES 4.0 V8 Aut.
,Discovery ES TD5 2.5 4x4 4p Diesel Aut.
,Discovery ES TD5 2.5 4x4 4p Diesel Mec.
,Discovery RAW 3.0 4x4 TDV6 Diesel Aut.
,Discovery Sport BLACK 2.2 4x4 Dies. Aut.
,Discovery Sport HSE 2.0 4x4 Aut.
,Discovery Sport HSE 2.0 4x4 Diesel Aut
,Discovery Sport HSE 2.2 4x4 Diesel Aut.
,Discovery Sport HSE L. 2.2 4x4 Die. Aut.
,Discovery Sport HSE Luxury 2.0 4x4 Aut.
,Discovery Sport SE 2.0 4x4 Aut.
,Discovery Sport SE 2.0 4x4 Diesel Aut.
,Discovery Sport SE 2.2 4x4 Diesel Aut.
,Discovery TDI 2.5 Diesel
,Discovery3 HSE 2.7 4x4 TDI Diesel Aut.
,Discovery3 HSE 4.4 V8 4x4 299cv Aut.
,Discovery3 S 2.7 4x4 TDI Diesel Aut.
,Discovery3 S 4.0 V6 4x4 215cv Aut.
,Discovery3 SE 2.7 4x4 TDI Diesel Aut.
,Discovery3 SE 4.0 V6 4x4 215cv Aut.
,Discovery4 B&W 3.0 4x4 TDV6 Diesel Aut.
,Discovery4 BLACK 3.0 4x4 SDV6 Dies. Aut.
,Discovery4 GRAPHITE 3.0 4x4 SDV6 Die.Aut
,Discovery4 HSE 2.7 4x4 TDV6 Diesel Aut.
,Discovery4 HSE 3.0 4x4 TDV6/SDV6 Die.Aut
,Discovery4 HSE 5.0 4x4 Aut.
,Discovery4 S 2.7 4x4 TDV6 Diesel Aut.
,Discovery4 S 3.0 4X4 TDV6 Diesel Aut.
,Discovery4 SE 2.7 4x4 TDV6 Diesel Aut.
,Discovery4 SE 3.0 4x4 TDV6/SDV6 Die.Aut.
,Freelander 1.8 16v
,Freelander HSE 2.5 V6 24V 177cv 5p
,Freelander HSE3 2.5 V6 24V 177cv 3p
,Freelander S/ SE 2.5 V6 24V 177cv 5p
,Freelander SE3 2.5 V6 24V 177cv 3p
,Freelander2 Dynamique 2.2 SD4 T. Diesel
,Freelander2 HSE 2.2 SD4 190cv T.Diesel
,Freelander2 I6 HSE 3.2 232cv Aut. 5p
,Freelander2 I6 LE Sport 3.2 232cv Aut. 5
,Freelander2 I6 S 3.2 232cv Aut. 5p
,Freelander2 I6 S Sport 3.2 232cv Aut. 5p
,Freelander2 I6 SE 3.2 232cv Aut. 5p
,Freelander2 S 2.2 SD4 190cv T.Diesel
,Freelander2 SE 2.2 SD4 190cv T.Diesel
,Freelander2 SI4 Dyn. 2.0 240cv Aut. 5p
,Freelander2 SI4 HSE 2.0 240cv Aut. 5p
,Freelander2 SI4 S 2.0 240cv Aut. 5p
,Freelander2 SI4 SE 2.0 240cv Aut. 5p
,New Range/Range Rover Vogue 3.9 V8
,Range R. EVO DYNAMIQUE BLACK 2.0 Aut. 5p
,Range R. EVO STYLE 2.0 Aut. 5p
,Range R. EVOQUE LONDON 2.0 240cv Aut. 5p
,Range R. EVOQUE SD4 HSE 2.2 Dies. Aut.5p
,Range R. EVOQUE SD4 SE 2.2 Dies. Aut. 5p
,Range R. EVOQUE SI4 HSE Dynamic 2.0 Aut.
,Range R. EVOQUE SI4 SE 2.0 Aut. 5p
,Range R. EVOQUE SI4 SE Dynamic 2.0 Aut.
,Range R. Sport Autob. 3.0 SDV6 Diesel
,Range R. Sport Autob. Dyn.SCHA. 5.0 V8
,Range R. Sport Autob. SUPERCHAR. 5.0 V8
,Range R. Sport HSE Dynamic SUPERC.5.0 V8
,Range R. Sport HSE SUPERCHARGED 3.0 V6
,Range R. Sport HST SUPERCHARGED 3.0 V6
,Range R. Sport L. Edit. SCHARGED 3.0 V6
,Range R. SVAutobiography SUPERC. 5.0 V8
,Range R. Vogue 4.4 TDV8/SDV8 Diesel Aut.
,Range R. Vogue Autob. SUPERCHAR. 5.0 V8
,Range R.EVOQUE Dynamic 2.0 Aut 3p
,Range R.EVOQUE Dynamic 2.0 Aut 5p
,Range R.EVOQUE Dynamic Tech 2.0 Aut 3p
,Range R.EVOQUE Dynamic Tech 2.0 Aut 5p
,Range R.EVOQUE ONE SICILIAN 2.0 Aut. 5p
,Range R.EVOQUE Prestige 2.0 Aut. 5p
,Range R.EVOQUE Prestige 2.2 5p Dies.
,Range R.EVOQUE Prestige Tech 2.0 Aut 5p
,Range R.EVOQUE PrestigeTech 2.2 5p Dies.
,Range R.EVOQUE Pure 2.0 Aut. 5p
,Range R.EVOQUE Pure 2.0 Aut. 3p
,Range R.Sport HSE Dynamic 4.4 SDV8 Dies.
,Range R.Sport SE 3.0 4x4 TDV6/SDV6 Dies.
,Range Rover EVOQUE Pure Tech 2.0 Aut. 3p
,Range Rover EVOQUE Pure Tech 2.0 Aut. 5p
,Range Rover EVOQUE SE 2.0 Diesel Aut.
,Range Rover EVOQUE Zanzibar 2.0 Aut. 5p
,Range Rover HSE 4.4/ 4.6
,Range Rover Sport 3.6 TDV8 272cv Diesel
,Range Rover Sport HSE 2.7 190cv TB Dies.
,Range Rover Sport HSE 3.0 SDV6 Diesel
,Range Rover Sport HSE 4.4 V8 32V 295cv
,Range Rover Sport HSE SUPERCHAR. 5.0 V8
,Range Rover Sport SE 2.7 190cv TB Diesel
,Range Rover Sport SE 3.6 TDV8 272cv Dies
,Range Rover Sport SE 4.4 V8 32V 299cv
,Range Rover Sport SUPERCHAGED 4.2 V8
,Range Rover Sport SVR SUPERCHAGED 5.0 V8
,Range Rover SUPERCHAGED 4.2 V8 396cv
,Range Rover Vogue 3.0 TDV6 Diesel Aut.
,Range Rover Vogue 3.6 TDV8 272cv Diesel
,Range Rover Vogue 4.4 Auto. SDV8 Diesel.
,Range Rover Vogue HSE 3.0 TDV6 Diesel
,Range Rover Vogue SE 4.4 SDV8 Dies. Aut
,Range Rover Vogue SE SUPERCHAR. 5.0 V8
,Ranger R. Sport TECH S 3.0 SDV6 Diesel
Lexus,CT200h 1.8 16V HIBRID Aut.
,CT200h F-Sport 1.8 16V HIBRID Aut.
,ES-300 3.0
,ES-330 3.3 24V 228cv
,ES-350 3.5 24V 284cv
,GS 300 3.0 V6 24V
,IS-250 2.5 24V 208cv Aut.
,IS-250 F Sport 2.5 24V 208cv Aut.
,IS-300 3.0 24v 231cv Aut.
,LS 400 4.0
,LS 430 4.3 32V 281cv
,LS 460 4.6 32V 347cv
,LS-460L 4.6 V8 32v 347cv Aut.
,NX-200t F-Sport 2.0 16v 238cv Aut.
,NX-200t Luxury 2.0 16V 238cv Aut.
,RX 300 3.0 V6 24V
,RX-350 3.5 24v Aut.
,RX-350 F-Sport 3.5 24V Aut.
,SC 400 4.0 V8
LIFAN,320 ELITE 1.3 16V 88cv 5p
,530 1.5 16V 103cv 4p
,530 TALENT 1.5 16V 106cv 4p
,620 TALENT 1.6 16V 106cv 4p
,FOISON 1.3 16V 85cv 2p
,X60 1.8 16V 128cv 5p Mec.
LOBINI,H1 1.8 20V Turbo 180cv 2p
LOTUS,Elan S-2 1.6 16V
,Esprit S-4 2.2 16V
Mahindra,PIK-UP CD 2.2 4X2 (diesel) Mec.
,PIK-UP CD 2.2 4X4 (diesel) Mec.
,PIK-UP CS 2.2 4X2 (diesel) Mec.
,PIK-UP CS 2.2 4X4 (diesel) Mec.
,SCORPIO 2.6 CD TB Diesel CRDe 4x4
,SCORPIO 2.6 CS/ Chassi TB Dies. CRDe 4x4
,SCORPIO GLX SUV 2.6 TB Diesel CRDe 4WD
,SUV 2.2 4x4 (diesel) Mec.
Maserati,222 SE/SR 2.0 V6
,228
,3200 GT Cupê
,3200 GT Cupê Aut.
,430 2.0 V6
,430 II 2.0 V6
,Coupé CC 4.2 V8 32V 390cv
,Ghibli 2.0 V6
,Ghibli 3.0 V6 330cv Aut.
,Ghibli S Q4 3.0 V6 410cv Aut.
,Gran Turismo Sport 4.7 V8 32v 460cv
,GranCabrio 4.7 V8 32V 440cv
,GranSport 4.2 V8 32V 400cv
,GranSport Spyder 4.2 V8 32V 400cv
,GranTurismo 4.2 V8 32V 405cv
,GranTurismo MC Stradale 4.7 V8 32V 450cv
,GranTurismo S 4.7 V8 32V/ MC Line
,Levante 3.0 V6 250cv Aut.
,Levante S 3.0 V6 430cv Aut.
,Quattroporte Automatica 4.2 32V 400cv
,Quattroporte Evolucione Aut.
,Quattroporte Evolucione Mec.
,Quattroporte Executive 4.2 32V 400cv
,Quattroporte GTS 3.8 V8 32V 530cv
,Quattroporte S 4.7 V8 32V 430cv
,Quattroporte Sport 4.2 32V 400cv/430cv
,Quattroporte Sport GT-S 4.7 V8 32V 440cv
,Shamal 3.2 V8
,Spider IE 2.0 V6
,Spyder CC 4.2 V8 32V 390cv
Matra,Pick-Up 4x2 Curto/Longo 2.5 TDI Diesel
,Pick-Up 4x4 Curto/Longo 2.5 TDI Diesel
,Pick-Up CD 4x2 Curto/Longo 2.5 TDI Dies.
,Pick-Up CD 4x4 Curto/Longo 2.5 TDI Dies.
Mazda,323 1.6 16V
,626 GLX
,626 GT
,626 Sedan Aut.
,626 Sedan High
,626 Sedan Mec.
,626 Sedan Top
,626 SW
,626 SW High
,929 V6 Aut
,B-2500 Pick-Up 2.5 Diesel
,B-2500 Pick-Up 4x4 2.5 Diesel
,B-2500 Pick-Up CD 4x4 2.5 Diesel
,B2200 Pick-Up 2.2 Diesel
